id,titulo,orientacion,carrera,resolucion,modalidad,institucion_id
2310,TECNICO DISEÑADOR UNIVERSITARIO EN ILUMINACION,,,R.M.0073/02,PRESENCIAL,2
2311,TECNICO EN AREAS NATURALES PROTEGIDAS,,,R.M.1449/99,PRESENCIAL,2
2312,TECNICO EN DOCUMENTACION Y MUSEOLOGIA ARQUEOLOGICA,,,R.M.2150/88,PRESENCIAL,2
2313,TÉCNICO EN ESTADÍSTICAS DE SALUD,,TECNICATURA EN ESTADÍSTICAS DE SALUD,R.M./1856/2014,PRESENCIAL,2
2314,TÉCNICO SUPERIOR EN GESTIÓN UNIVERSITARIA,,LICENCIATURA EN GESTIÓN UNIVERSITARIA,R.M./0689/2013 - R.M./689/2013,PRESENCIAL,2
2315,TECNICO SUPERIOR EN GESTION UNIVERSITARIA CON ORIENTACION ALTERNATIVA EN ADMINISTRACION ACADEMICA,ALTERNATIVA EN ADMINISTRACION ACADEMICA,,R.M.2102/07,PRESENCIAL,2
2316,TECNICO SUPERIOR EN GESTION UNIVERSITARIA CON ORIENTACION ALTERNATIVA EN ADMINISTRACION ECONOMICO-FINANCIERA,ALTERNATIVA EN ADMINISTRACION ECONOMICO-FINANCIERA,,R.M.2102/07,PRESENCIAL,2
2317,TECNICO SUPERIOR EN GESTION UNIVERSITARIA CON ORIENTACION ALTERNATIVA EN MANTENIMIENTO PRODUCCION Y SERVICIOS GENERALES,ALTERNATIVA EN MANTENIMIENTO PRODUCCION Y SERVICIOS GENERALES,,R.M.2102/07,PRESENCIAL,2
2318,TECNICO SUPERIOR EN GESTION UNIVERSITARIA CON ORIENTACION ALTERNATIVA EN RECURSOS ASISTENCIALES,ALTERNATIVA EN RECURSOS ASISTENCIALES,,R.M.2102/07,PRESENCIAL,2
2319,TECNICO SUPERIOR EN GESTION UNIVERSITARIA CON ORIENTACION ALTERNATIVA EN RECURSOS TECNICOS,ALTERNATIVA EN RECURSOS TECNICOS,,R.M.2102/07,PRESENCIAL,2
2320,TECNICO UNIVERSITARIO EN ADMINISTRACION DE AREAS PROTEGIDAS,,,R.M.1253/99,PRESENCIAL,2
2321,TECNICO UNIVERSITARIO EN AGROINDUSTRIA,,,R.M.0647/05,PRESENCIAL,2
2322,TECNICO UNIVERSITARIO EN DOCUMENTACION Y MUSEOLOGIA ARQUEOLOGICA,,,R.M.1227/99,PRESENCIAL,2
2323,TÉCNICO UNIVERSITARIO EN FOTOGRAFÍA,,,R.M.0093/03,PRESENCIAL,2
2324,TECNICO UNIVERSITARIO EN MEDIOS AUDIOVISUALES,,,R.M.0964/05,PRESENCIAL,2
2325,TECNICO UNIVERSITARIO EN SONORIZACION,,,R.M.0012/03,PRESENCIAL,2
2326,TECNICO UNIVERSITARIO EN TECNOLOGIA AZUCARERA E INDUSTRIAS DERIVADAS,,,R.M.0674/99,PRESENCIAL,2
2327,TERAPISTA FISICO,,,R.M.1389/96,PRESENCIAL,2
2328,ANALISTA ADMINISTRATIVO CONTABLE,,,R.M.1047/85,PRESENCIAL,3
2329,ANALISTA AMBIENTAL,,,R.M.0436/97,PRESENCIAL,3
2330,ANALISTA EN COMERCIO EXTERIOR,,ANALISTA EN COMERCIO EXTERIOR,R.M./4100/2019,PRESENCIAL,3
2331,ANALISTA EN MARKETING,,ANALISTA EN MARKETING,R.M./2092/2020,PRESENCIAL,3
2332,ANALISTA EN MARKETING,,LICENCIATURA EN COMERCIALIZACIÓN,R.M.0678/98 - R.M.1228/99 - R.M./1316/2011,PRESENCIAL,3
2333,ANALISTA EN RECURSOS HUMANOS,,LICENCIATURA EN RECURSOS HUMANOS,R.M./2279/2013,PRESENCIAL,3
2334,ANALISTA UNIVERSITARIO/A EN RECURSOS HUMANOS,,,R.M.0224/01,PRESENCIAL,3
2335,ANALISTA UNIVERSITARIO/A EN RELACIONES PÚBLICAS E INSTITUCIONALES,,ANALISTA UNIVERSITARIO EN RELACIONES PÚBLICAS E INSTITUCIONALES,R.M./1066/2018,PRESENCIAL,3
2336,ANALISTA UNIVERSITARIO/A EN RELACIONES PÚBLICAS E INSTITUCIONALES,,LICENCIATURA EN RELACIONES PÚBLICAS E INSTITUCIONALES,R.M.0228/01 - R.M.0228/09 - R.M./2558/2019,PRESENCIAL,3
2337,ANALISTA UNIVERSITARIO DE SISTEMAS,,,R.M.1927/90 - R.M.3311/94,PRESENCIAL,3
2338,ANALISTA UNIVERSITARIO EN TECNOLOGIA DE LOS ALIMENTOS,,,R.M.2106/98,PRESENCIAL,3
2339,ASISTENTE DENTAL,,,R.M.0295/00,PRESENCIAL,3
2340,ASISTENTE SOCIAL,,,DIS.0003/70,PRESENCIAL,3
2341,BACHILLER UNIVERSITARIO EN CASTELLANO,,,DIS.0003/70,PRESENCIAL,3
2342,BACHILLER UNIVERSITARIO EN CIENCIAS EXACTAS,,,DIS.0003/70,PRESENCIAL,3
2343,BACHILLER UNIVERSITARIO EN FILOSOFÍA,,,DIS.0003/70 - R.M.0033/75,PRESENCIAL,3
2344,BACHILLER UNIVERSITARIO EN HISTORIA,,,DIS.0003/70 - R.M.0033/75,PRESENCIAL,3
2345,BACHILLER UNIVERSITARIO EN INGLES,,,DIS.0003/70 - R.M.0033/75,PRESENCIAL,3
2346,BACHILLER UNIVERSITARIO EN LETRAS,,,R.M.0033/75,PRESENCIAL,3
2347,BACHILLER UNIVERSITARIO EN MATEMATICA,,,DIS.0003/70 - R.M.0033/75,PRESENCIAL,3
2348,BACHILLER UNIVERSITARIO EN MATEMATICA Y FISICA,,,R.M.0577/75,PRESENCIAL,3
2349,BACHILLER UNIVERSITARIO EN PSICOLOGIA,,,DIS.0003/70 - R.M.0033/75,PRESENCIAL,3
2350,BACHILLER UNIVERSITARIO EN PSICOPEDAGOGIA,,,DIS.0003/70,PRESENCIAL,3
2351,BACHILLER UNIVERSITARIO EN TEOLOGIA,,,DIS.0003/70,PRESENCIAL,3
2352,CALIGRAFO PUBLICO NACIONAL,,,R.M.0358/99,PRESENCIAL,3
2353,CORREDOR INMOBILIARIO Y MARTILLERO PÚBLICO,,CORREDOR INMOBILIARIO Y MARTILLERO PÚBLICO,R.M.0968/11 - R.M./968/2011,PRESENCIAL,3
2354,DISEÑADOR DE INTERIORES,,,R.M.2271/98,PRESENCIAL,3
2355,GUÍA DE TURISMO,,,R.M.1081/89,PRESENCIAL,3
2356,GUÍA UNIVERSITARIO EN TURISMO,,,R.M.0401/00,PRESENCIAL,3
2357,HIGIENISTA DENTAL,,,R.M.0304/00,PRESENCIAL,3
2358,INSTRUMENTADOR QUIRURGICO,,,R.M.0521/03,PRESENCIAL,3
2359,PERITO DOCUMENTOLOGO,,,R.M.0358/99,PRESENCIAL,3
2360,PERITO EN ACCIDENTOLOGIA,,,R.M.1061/99,PRESENCIAL,3
2361,PERITO EN BALISTICA,,,R.M.1048/99,PRESENCIAL,3
2362,PERITO EN INSPECCIONES OCULARES Y DACTILOSCOPIA,,,R.M.1180/05,PRESENCIAL,3
2363,PERITO EN INSPECCIONES OCULARES Y DACTILOSCOPIA,,,R.M.1180/05,PRESENCIAL,3
2364,PROFESOR DE EDUCACION FISICA PARA LA ENSEÑANZA PRIMARIA,,,R.M.1283/82,PRESENCIAL,3
2365,PROFESOR DE ENSEÑANZA MEDIA EN CIENCIAS FISICO-MATEMATICAS,,,R.M.0210/79,PRESENCIAL,3
2366,PROFESOR DE ENSEÑANZA MEDIA EN CIENCIAS SOCIALES,,,R.M.0210/79,PRESENCIAL,3
2367,PROFESOR DE NIVEL ELEMENTAL,,,R.M.0210/79,PRESENCIAL,3
2368,PROFESOR DE PRIMERO Y SEGUNDO CICLO DE LA EDUCACION GENERAL BASICA -CICLO DE PROFESORADO,,,R.M.1031/01,PRESENCIAL,3
2369,PROFESOR DE TERCER CICLO DE LA EDUCACION GENERAL BASICA Y DE LA EDUCACION POLIMODAL EN... (UNA DISCIPLINA ESPECIFICA) - CICLO DE PROFESORADO,,,R.M.1031/01,PRESENCIAL,3
2370,PROFESOR EN MATEMATICA Y FISICA,,,R.M.3551/71 - R.M.2223/86,PRESENCIAL,3
2371,PROFESOR PARA LA ENSEÑANZA MEDIA EN CASTELLANO,,,DIS.0003/70,PRESENCIAL,3
2372,PROFESOR PARA LA ENSEÑANZA MEDIA EN FILOSOFIA,,,DIS.0003/70 - R.M.0033/75,PRESENCIAL,3
2373,PROFESOR PARA LA ENSEÑANZA MEDIA EN GEOGRAFIA,,,R.M.1188/82,PRESENCIAL,3
2374,PROFESOR PARA LA ENSEÑANZA MEDIA EN HISTORIA,,,DIS.0003/70 - R.M.0033/75,PRESENCIAL,3
2375,PROFESOR PARA LA ENSEÑANZA MEDIA EN INGLES,,,DIS.0003/70 - R.M.0033/75,PRESENCIAL,3
2376,PROFESOR PARA LA  ENSEÑANZA MEDIA EN LETRAS,,,R.M.0033/75,PRESENCIAL,3
2377,PROFESOR PARA LA ENSEÑANZA MEDIA EN MATEMATICA,,,DIS.0003/70 - R.M.0577/75,PRESENCIAL,3
2378,PROFESOR PARA LA ENSEÑANZA MEDIA EN MATEMATICA Y FISICA,,,R.M.0033/75,PRESENCIAL,3
2379,PROFESOR PARA LA ENSEÑANZA MEDIA EN PSICOLOGIA,,,DIS.0003/70 - R.M.0033/75,PRESENCIAL,3
2380,PROFESOR PARA LA ENSEÑANZA MEDIA EN PSICOPEDAGOGIA,,,DIS.0003/70,PRESENCIAL,3
2381,PROFESOR PARA LA ENSEÑANZA MEDIA EN TEOLOGIA,,,DIS.0003/70,PRESENCIAL,3
2382,PROFESOR PARA LA ENSEÑANZA MEDIA Y SUPERIOR EN CIENCIAS FISICO MATEMATICAS,,,R.M.0095/89,PRESENCIAL,3
2383,PROFESOR PARA LA ENSEÑANZA MEDIA Y SUPERIOR EN CIENCIAS SOCIALES,,,R.M.3054/92,PRESENCIAL,3
2384,PROFESOR PARA LA ENSEÑANZA PRIMARIA CON ESPECIALIDAD EN JARDIN DE INFANTES,,,R.M.1089/89,PRESENCIAL,3
2385,PROFESOR PARA LE ENSEÑANZA MEDIA EN COMUNICACIONES SOCIALES,,,R.M.0033/75,PRESENCIAL,3
2386,PROFESOR UNIVERSITARIO EN EDUCACION FISICA PARA EL NIVEL DE EDUCACION INICIAL Y GENERAL BASICA,,,R.M.0544/97,PRESENCIAL,3
2387,PROGRAMADOR UNIVERSITARIO,,,R.M.0883/99,PRESENCIAL,3
2388,SECRETARIA EJECUTIVA,,,DIS.0003/70 - R.M.2302/84,PRESENCIAL,3
2389,TÉCNICA/O UNIVERSITARIA/O EN TURISMO,,,R.M.0401/00,PRESENCIAL,3
2390,TÉCNICO/A EN INFORMÁTICA,,TÉCNICO UNIVERSITARIO EN INFORMÁTICA,R.M./2221/2020,PRESENCIAL,3
2391,TÉCNICO/A UNIVERSITARIO/A DE EMPRESAS INDUSTRIALES,,INGENIERÍA INDUSTRIAL,R.M./667/2020,PRESENCIAL,3
2392,TÉCNICO/A UNIVERSITARIO/A EN ADMINISTRACIÓN AGROPECUARIA,,TECNICATURA EN ADMINISTRACIÓN AGROPECUARIA,R.M./1748/2020,PRESENCIAL,3
2393,TÉCNICO/A UNIVERSITARIO/A EN ADMINISTRACIÓN Y GESTIÓN UNIVERSITARIA,,TÉCNICO UNIVERSITARIO EN ADMINISTRACIÓN Y GESTIÓN UNIVERSITARIA,R.M./2255/2018,PRESENCIAL,3
2394,TÉCNICO/A UNIVERSITARIO/A EN CONSTRUCCIONES CIVILES,,TECNICATURA UNIVERSITARIA EN CONSTRUCCIONES CIVILES,R.M./618/2020,PRESENCIAL,3
2395,TÉCNICO/A UNIVERSITARIO/A EN DISEÑO GRÁFICO,,LICENCIATURA EN DISEÑO GRÁFICO- RECTIFICATORIA RM 685/09,EN TRAMITE,PRESENCIAL,3
2396,TÉCNICO/A UNIVERSITARIO/A EN GESTIÓN DE COMERCIO EXTERIOR,,LICENCIATURA EN COMERCIO INTERNACIONAL,R.M.0104/03 - R.M.0779/07 - R.M./1900/2019,PRESENCIAL,3
2397,TÉCNICO/A UNIVERSITARIO/A EN HIGIENE Y SEGURIDAD EN EL TRABAJO,,LICENCIATURA EN HIGIENE Y SEGURIDAD EN EL TRABAJO,R.M.0240/00,PRESENCIAL,3
2398,TÉCNICO/A UNIVERSITARIO/A EN PSICOLOGÍA,,TECNICATURA UNIVERSITARIA EN PSICOLOGÍA,R.M./2778/2019,PRESENCIAL,3
2399,TÉCNICO/A UNIVERSITARIO/A EN TURISMO,,TECNICATURA UNIVERSITARIA EN TURISMO,R.M./581/2020,PRESENCIAL,3
2400,TECNICO EN IMAGEN Y SONIDO,,,R.M.1363/07,PRESENCIAL,3
2401,TECNICO EN PROTESIS DENTAL,,,R.M.0499/99,PRESENCIAL,3
2402,TECNICO SUPERIOR DE ANALISIS DE SISTEMAS,,,R.M.1927/90,PRESENCIAL,3
2403,TECNICO SUPERIOR EN GESTION AGROALIMENTARIA,,,R.M.1336/04,PRESENCIAL,3
2404,TECNICO SUPERIOR EN PREVENCION DE ADICCIONES,,,R.M.1660/99,PRESENCIAL,3
2405,TECNICO SUPERIOR EN PROTESIS DENTAL,,,R.M.1321/07,PRESENCIAL,3
2406,TECNICO TRADUCTOR EN INGLES,,,R.M.1296/02 - 0361/07,PRESENCIAL,3
2407,TECNICO UNIVERSITARIO DE EMPRESAS INDUSTRIALES,,,R.M.0707/03,PRESENCIAL,3
2408,"TÉCNICO UNIVERSITARIO EN ACOMPAÑAMIENTO, CUIDADO Y ASISTENCIA AL ADULTO MAYOR",,"TECNICATURA UNIVERSITARIA EN ACOMPAÑAMIENTO, CUIDADO Y ASISTENCIA DEL ADULTO MAYOR",R.M./2197/2016,PRESENCIAL,3
2409,TECNICO UNIVERSITARIO EN ACTIVIDAD FISICA Y FITNESS,,,R.M.0557/10,PRESENCIAL,3
2410,TECNICO UNIVERSITARIO EN ADMINISTRACION AGROPECUARIA,,,R.M.1559/04,PRESENCIAL,3
2411,TECNICO UNIVERSITARIO EN ADMINISTRACION AGROPECUARIA,,,R.M.0428/02,PRESENCIAL,3
2412,TECNICO UNIVERSITARIO EN ARTES MUSICALES CON ORIENTACION ARMONIA Y CONTRAPUNTO,ARMONIA Y CONTRAPUNTO,,R.M.0848/05,PRESENCIAL,3
2413,TECNICO UNIVERSITARIO EN CEREMONIAL Y PROTOCOLO,,,R.M.1021/07,PRESENCIAL,3
2414,TECNICO UNIVERSITARIO EN CIENCIAS FORESTALES,,,R.M.1235/10,PRESENCIAL,3
2415,TECNICO UNIVERSITARIO EN COMUNICACIONES SOCIALES,,LICENCIATURA EN COMUNICACIONES SOCIALES,R.M.0057/09,PRESENCIAL,3
2416,TECNICO UNIVERSITARIO EN COMUNICACIÓN PERIODISTICA,,LICENCIATURA EN PERIODISMO,R.M.0682/07,PRESENCIAL,3
2417,TECNICO UNIVERSITARIO EN COMUNICACIÓN PUBLICITARIA,,LICENCIATURA EN PUBLICIDAD,R.M.0011/09,PRESENCIAL,3
2418,TECNICO UNIVERSITARIO EN CONSTRUCCIONES CIVILES,,,R.M.0394/10,PRESENCIAL,3
2419,TÉCNICO UNIVERSITARIO EN DESARROLLO LOCAL,,TECNICATURA EN DESARROLLO LOCAL,R.M./3124/2015,PRESENCIAL,3
2420,TECNICO UNIVERSITARIO EN DISEÑO GRAFICO,,,R.M.0685/08,PRESENCIAL,3
2421,TECNICO UNIVERSITARIO EN ECONOMIA Y PROYECTOS FAMILIARES,,,R.M.0017/03,PRESENCIAL,3
2422,TECNICO UNIVERSITARIO EN GESTION DE BANCOS Y EMPRESAS FINANCIERAS,,,R.M.0088/01,PRESENCIAL,3
2423,TECNICO UNIVERSITARIO EN GESTION DE CALIDAD,,,R.M.0319/00,PRESENCIAL,3
2424,TECNICO UNIVERSITARIO EN GESTION DE COMERCIO ELECTRONICO,,,R.M.0014/03 - R.M.0220/03,PRESENCIAL,3
2425,TECNICO UNIVERSITARIO EN GESTION DE MARKETING,,,R.M.2123/98 - R.M.1228/99,PRESENCIAL,3
2426,TÉCNICO UNIVERSITARIO EN GESTIÓN FINANCIERA,,,R.M.1278/02,PRESENCIAL,3
2427,TECNICO UNIVERSITARIO EN INFORMATICA,,,R.M.0885/02,PRESENCIAL,3
2428,TECNICO UNIVERSITARIO EN LABORATORIO DE BIOQUIMICA,,,R.M.0311/03,PRESENCIAL,3
2429,TECNICO UNIVERSITARIO EN LABORATORIO QUIMICO FARMACEUTICO,,,R.M.0519/03,PRESENCIAL,3
2430,TECNICO UNIVERSITARIO EN MANTENIMIENTO DE ESTABLECIMIENTOS DE SALUD,,,R.M.0520/03,PRESENCIAL,3
2431,TÉCNICO UNIVERSITARIO EN PRODUCCIÓN ANIMAL,,,R.M.0174/02 - R.M./473/2009,PRESENCIAL,3
2432,TECNICO UNIVERSITARIO EN PRODUCCION DE BIO-IMÁGENES,,,R.M.0583/09,PRESENCIAL,3
2433,TECNICO UNIVERSITARIO EN PRODUCCION DE IMÁGENES,,,R.M.0547/03,PRESENCIAL,3
2434,TÉCNICO UNIVERSITARIO EN SECRETARIADO EJECUTIVO,,,R.M.0520/00 - R.M.0305/08,PRESENCIAL,3
2435,TÉCNICO UNIVERSITARIO EN SEGUROS,,,R.M.0093/01,PRESENCIAL,3
2436,TÉCNICO UNIVERSITARIO EN TELECOMUNICACIONES,,,R.M.1028/01,PRESENCIAL,3
2437,ANALISTA EN ADMINISTRACION DE EMPRESAS,,,R.M.1659/97,PRESENCIAL,4
2438,ANALISTA EN ADMINISTRACION PUBLICA,,,R.M.1659/97,PRESENCIAL,4
2439,ANALISTA PROGRAMADOR/A UNIVERSITARIO,,,R.M.0722/97 - R.M.0584/04,PRESENCIAL,4
2440,AUXILIAR TECNICO EN ANTROPOLOGIA,,,R.M.2269/98,PRESENCIAL,4
2441,BIBLIOTECARIO,,,R.M.2032/84,PRESENCIAL,4
2442,BROMATÓLOGO,,,R.M.0759/00 - R.M.0215/01,PRESENCIAL,4
2443,EDUCADOR SANITARIO,,EDUCADOR PARA LA SALUD -DISPOSICIÓN-,R.M./2172/2019,PRESENCIAL,4
2444,EDUCADOR SANITARIO,,,R.M.2614/94,PRESENCIAL,4
2445,ENFERMERO/A UNIVERSITARIO/A,,ENFERMERÍA UNIVERSITARIA,R.M./591/2021,PRESENCIAL,4
2446,TÉCNICA/O UNIVERSITARIA/O EN TURISMO,,LICENCIATURA EN TURISMO,R.M./1195/2017,PRESENCIAL,4
2447,TÉCNICO/A EN COMUNICACIÓN SOCIAL,,TECNICATURA EN COMUNICACIÓN SOCIAL -DISPOSICIÓN-,R.M./2165/2019,PRESENCIAL,4
2448,TÉCNICO/A UNIVERSITARIO/A EN COMUNICACIÓN DIGITAL CONVERGENTE,,TECNICATURA UNIVERSITARIA EN COMUNICACIÓN DIGITAL CONVERGENTE,R.M./717/2020,PRESENCIAL,4
2449,TÉCNICO/A UNIVERSITARIO/A EN ESTADÍSTICA,,TECNICATURA UNIVERSITARIA EN ESTADÍSTICA,R.M./3933/2019,PRESENCIAL,4
2450,TÉCNICO/A UNIVERSITARIO/A EN TRANSFORMACIÓN DE LA PRODUCCIÓN AGROPECUARIA,,TECNICATURA UNIVERSITARIA EN TRANSFORMACIÓN DE LA PRODUCCIÓN AGROPECUARIA,R.M./380/2018,PRESENCIAL,4
2451,TÉCNICO EN COMUNICACIÓN SOCIAL,,,R.M.1121/94,PRESENCIAL,4
2452,TÉCNICO EN GESTIÓN UNIVERSITARIA,,TECNICATURA EN GESTIÓN UNIVERSITARIA,R.M./1667/2014,PRESENCIAL,4
2453,TECNICO SUPERIOR EN MINAS -ORIENTACION LABOREO Y MINERALURGIA,LABOREO Y MINERALURGIA,,R.M.2663/94,PRESENCIAL,4
2454,TECNICO SUPERIOR EN QUIMICA - ORIENTACION ALIMENTOS,ALIMENTOS,,R.M.2663/94,PRESENCIAL,4
2455,TECNICO UNIVERSITARIO EN BROMATOLOGIA,,,R.M.0303/96,PRESENCIAL,4
2456,TÉCNICO UNIVERSITARIO EN CIENCIAS DE LA TIERRA,,LICENCIATURA EN CIENCIAS GEOLÓGICAS,R.M./1101/2017,PRESENCIAL,4
2457,TÉCNICO UNIVERSITARIO EN CIENCIAS DE LA TIERRA ORIENTADA A PETRÓLEO,,TECNICATURA UNIVERSITARIA EN CIENCIAS DE LA TIERRA ORIENTADA A PETRÓLEO,R.M./2487/2013,PRESENCIAL,4
2458,TECNICO UNIVERSITARIO EN CIENCIAS GEOLOGICAS,,,R.M.0098/02,PRESENCIAL,4
2459,TECNICO UNIVERSITARIO EN EXPLOTACION DE MINAS,,,R.M.0856/02,PRESENCIAL,4
2460,TECNICO UNIVERSITARIO EN INFORMATICA,,,R.M.0724/97,PRESENCIAL,4
2461,TÉCNICO UNIVERSITARIO EN MECANIZACIÓN AGRÍCOLA,,TECNICATURA UNIVERSITARIA EN MECANIZACIÓN AGRÍCOLA,R.M./2096/2017,PRESENCIAL,4
2462,TÉCNICO UNIVERSITARIO EN PERFORACIONES,,TECNICATURA UNIVERSITARIA EN PERFORACIONES,R.M./2024/2013,PRESENCIAL,4
2463,TÉCNICO UNIVERSITARIO EN PROCESAMIENTO DE MINERALES,,,R.M.0856/02,PRESENCIAL,4
2464,TÉCNICO UNIVERSITARIO EN PRODUCCIÓN DE ANIMALES DE GRANJA,,TECNICATURA UNIVERSITARIA EN PRODUCCIÓN DE ANIMALES DE GRANJA,R.M./1194/2017,PRESENCIAL,4
2465,TÉCNICO UNIVERSITARIO EN PRODUCCIÓN LECHERA,,TECNICATURA UNIVERSITARIA EN PRODUCCIÓN LECHERA,R.M./1123/2015,PRESENCIAL,4
2466,TÉCNICO UNIVERSITARIO FORESTAL,,TECNICATURA UNIVERSITARIA FORESTAL,R.M./1925/2017,PRESENCIAL,4
2467,ACTOR/ACTRIZ,,LICENCIATURA EN ACTUACIÓN,R.M./1562/2018,PRESENCIAL,5
2468,ARCHIVISTA ORQUESTAL,,,R.M.0285/99,PRESENCIAL,5
2469,ARREGLADOR MUSICAL,,,R.M.0285/99,PRESENCIAL,5
2470,ASISTENTE DE DIRECCION ORQUESTAL,,,R.M.0285/99,PRESENCIAL,5
2471,ASISTENTE DE GRABACION,,,R.M.0285/99,PRESENCIAL,5
2472,ASISTENTE DE ILUMINACION Y CAMARA,,,R.M.0378/99,PRESENCIAL,5
2473,ASISTENTE DE ILUMINACIÓN Y CÁMARA/ PRODUCCIÓN/ REALIZACIÓN / SONIDO,,LICENCIATURA EN ARTES AUDIOVISUALES,R.M./713/2018,PRESENCIAL,5
2474,ASISTENTE DE PRODUCCION,,,R.M.0378/99,PRESENCIAL,5
2475,ASISTENTE DE REALIZACION,,,R.M.0378/99,PRESENCIAL,5
2476,ASISTENTE DE SONIDO,,,R.M.0378/99,PRESENCIAL,5
2477,DIRECTOR/A CORAL,,LICENCIATURA EN ARTES MUSICALES CON ORIENTACIÓN  EN DIRECCIÓN CORAL,R.M./1236/2018,PRESENCIAL,5
2478,DIRECTOR/A ORQUESTAL,,LICENCIATURA EN ARTES MUSICALES CON ORIENTACIÓN EN DIRECCIÓN ORQUESTAL,R.M./631/2018,PRESENCIAL,5
2479,DIRECTOR/A TEATRAL,,LICENCIATURA EN DIRECCIÓN ESCÉNICA,R.M./1443/2015,PRESENCIAL,5
2480,DIRECTOR CORAL,,,R.M.0285/99,PRESENCIAL,5
2481,DISEÑADOR/A DE SONIDO,,LICENCIATURA EN COMPOSICIÓN CON MEDIOS ELECTROACÚSTICOS,R.M./418/2019,PRESENCIAL,5
2482,INSTRUMENTISTA,,,R.M.0285/99,PRESENCIAL,5
2483,INSTRUMENTISTA,,TECNICATURA INSTRUMENTISTA,EN TRAMITE,PRESENCIAL,5
2484,"INSTRUMENTISTA DE ORQUESTA: VIOLÍN, VIOLA, VIOLONCELLO, CONTRABAJO, FLAUTA TRAVESERA, OBOE, CLARINETE, SAXO, FAGOT, TROMPETA, TROMBÓN, CORNO FRANCÉS, TUBA, ARPA, PIANO, PERCUSIÓN, BANDONEÓN, GUITARRA.",,INSTRUMENTISTA ORQUESTAL,R.M./1641/2016,PRESENCIAL,5
2485,INTÉRPRETE DE CANTO,,LICENCIATURA EN MÚSICA CON ORIENTACIÓN EN CANTO,R.M./894/2018,PRESENCIAL,5
2486,INTÉRPRETE DE DANZA,,TECNICATURA EN INTERPRETACIÓN EN DANZA,R.M.0331/99 - R.M./0279/2013 - R.M./279/2013,PRESENCIAL,5
2487,INTÉRPRETE DE DANZA,,TECNICATURA EN INTERPRETACIÓN EN DANZA,R.M./100/2020,PRESENCIAL,5
2488,INTÉRPRETE DE DANZAS FOLKLÓRICAS Y TANGO,,INTERPRETACIÓN DE DANZAS FOLKLÓRICAS Y TANGO,R.M./53/2019,PRESENCIAL,5
2489,INTÉRPRETE DE DANZAS FOLKLÓRICAS Y TANGO,,,R.M.0284/99,PRESENCIAL,5
2490,INTERPRETE DE EXPRESION CORPORAL,,,R.M.0331/99,PRESENCIAL,5
2491,INTÉRPRETE DE INSTRUMENTOS CRIOLLOS,,,R.M.0284/99,PRESENCIAL,5
2492,INTÉRPRETE DE INSTRUMENTOS CRIOLLOS,,INTERPRETACIÓN DE INSTRUMENTOS CRIOLLOS,R.M./132/2009,PRESENCIAL,5
2493,INTÉRPRETE DE PIANO/CLAVE/ ÓRGANO/ VIOLÍN/ VIOLA/ VIOLONCELLO/ CONTRABAJO/ FLAUTA DULCE/FLAUTA TRAVESERA/ OBOE/ CLARINETE/ FAGOT/ CORNO/ TROMPETA/ TUBA/ TROMBÓN/ PERCUSIÓN/ GUITARRA/ ARPA/ SAXOFÓN/ BANDONEÓN.,,LICENCIATURA EN MÚSICA CON ORIENTACIÓN EN INSTRUMENTO,R.M./1156/2018,PRESENCIAL,5
2494,INTÉRPRETE DE TANGO,,INTÉRPRETACIÓN DE TANGO,R.M./2502/2016,PRESENCIAL,5
2495,"PROFESOR/A DE ARTE EN ARTES VISUALES MENCIÓN ARTES DEL FUEGO PARA EL NIVEL INICIAL, EGB I Y II",,PROFESORADO DE ARTES EN ARTES VISUALES CON MENCIÓN EN ARTES DEL FUEGO,R.M./2355/2019,PRESENCIAL,5
2496,"PROFESOR/A DE ARTES EN ARTES VISUALES PARA EL NIVEL INICIAL, EGB I Y II",,PROFESORADO DE ARTES EN ARTES VISUALES,R.M./2363/2019,PRESENCIAL,5
2497,"PROFESOR/A DE ARTES EN DANZA CON MENCIÓN EN EXPRESIÓN CORPORAL PARA EL NIVEL INICIAL, EGB I Y II",,PROFESORADO DE ARTES EN DANZA CON MENCIÓN EN EXPRESIÓN CORPORAL,R.M./2353/2019,PRESENCIAL,5
2498,"PROFESOR/A DE ARTES EN DANZA MENCIÓN DANZAS FOLKLÓRICAS Y TANGO PARA EL NIVEL INICIAL, EGB I Y II",,PROFESORADO DE ARTES EN DANZA CON MENCIÓN EN DANZAS FOLKLÓRICAS Y TANGO,R.M./2362/2019,PRESENCIAL,5
2499,"PROFESOR/A DE ARTES EN DANZA PARA EL NIVEL INICIAL, EGB I Y II",,PROFESORADO DE ARTES EN DANZA,EN TRAMITE,PRESENCIAL,5
2500,"PROFESOR/A DE ARTES EN FOLKLORE MENCIÓN INSTRUMENTOS CRIOLLOS NIVEL INICIAL, EGB I Y II",,PROFESORADO DE ARTES EN FOLKLORE CON MENCIÓN EN INSTRUMENTOS CRIOLLOS,R.M./2361/2019,PRESENCIAL,5
2501,"PROFESOR/A DE ARTES EN MÚSICA PARA EL NIVEL INICIAL, EGB I Y II",,PROFESORADO DE ARTES EN MÚSICA,R.M./2350/2019,PRESENCIAL,5
2502,"PROFESOR/A DE ARTES EN TEATRO PARA EL NIVEL INICIAL, EGB I Y II",,PROFESORADO DE ARTES EN TEATRO,R.M./2349/2019,PRESENCIAL,5
